question_id,difficulty,discrimination,guessing
Q1,-1.7497654730546974,0.8150398665092908,0.23925315008819953
Q2,0.34268040332750216,1.3170273172679714,0.14949342108223018
Q3,1.153035802563644,1.6536727566584775,0.18282518826498065
Q4,-0.25243603652138985,0.8760428437075939,0.08509630570935903
Q5,0.9813207869512316,0.9288435356102971,0.023013900844309654
Q6,0.5142188413943821,1.7785926317619596,0.11587450473428693
Q7,0.22117966922140045,1.9625097404098812,0.1271747233095485
Q8,-1.0700433305682933,1.8272799402366582,0.022115043250722694
Q9,-0.18949583082317534,1.0392617659053534,0.13200880582951185
Q10,0.25500144427338167,1.3982884188136206,0.24803950912763206
Q11,-0.4580269855026243,1.0321934174859497,0.0987589829395574
Q12,0.43516348812289213,1.0102853230559687,0.08389911042964207
Q13,-0.5835950503226648,0.7671214842587073,0.20136263433231993
Q14,0.816847071685779,0.8565413129360757,0.1885872486455884
Q15,0.672720805709661,0.5672934236911629,0.07826661039712743
Q16,-0.10441114339062771,1.2581471444536838,0.15850917074056878
Q17,-0.5312803768519098,1.0643786814460445,0.1351011438251791
Q18,1.0297326851333461,1.38920810146383,0.07419843772000367
Q19,-0.43813562270441736,1.444912813381246,0.027696975295611437
Q20,-1.1183182462554362,0.7139004716694253,0.07816007446893578
Q21,1.6189816606752596,1.9007619491996286,0.11424478251231646
Q22,1.5416051745134067,1.9195698212136518,0.16473501755654923
Q23,-0.251879139213213,1.4034449865962983,0.06356437945442953
Q24,-0.8424357382512976,1.081649420489946,0.16027531467517542
Q25,0.18451869056394285,1.0447820061640247,0.05003090180460079
Q26,0.9370822011089522,0.8065179153029663,0.16440620138224593
Q27,0.7310003438348087,0.9151475920945027,0.19457230386246213
Q28,1.361556125145331,0.8698038218053245,0.1948995996526874
Q29,-0.32623805920230253,0.7604120026103076,0.15258203830234845
Q30,0.055676014854776905,1.9499145417309853,0.07725008713110054
