question_id,difficulty_b
Q1,-0.46417496276290793
Q2,0.08064800774393666
Q3,-1.9104765492904061
Q4,-0.3288821404096196
Q5,1.8844333915238298
Q6,1.7809065863619722
Q7,0.30789008185255273
Q8,-1.0304760268462791
Q9,0.36873433643522135
Q10,1.677730664918061
Q11,0.5730396830642532
Q12,-1.5782199937489882
Q13,-1.4757070418360336
Q14,-1.5822449607686586
Q15,1.8893928223935732
Q16,-0.9184215940469169
Q17,-0.5038347021728646
Q18,-1.9159080076220714
Q19,-1.4552763587279172
Q20,0.7431868284185907
Q21,1.855733631043504
Q22,-1.361193348468281
Q23,1.0573615959788394
Q24,-0.4186126800102139
Q25,1.930089588528841
Q26,-1.753478225992105
Q27,0.4393140283845667
Q28,0.5593370611997459
Q29,-0.9117593333199179
Q30,1.5614336599859513
